kalimat,predicted_label
kali hamas luncur roket israel colong krn hamas android huawei tdk aplikasi google dlm proses luncur cmiiw,NEGATIVE
ibutho lakwele israel lithi selikhulule omunye wabo uori megidish owathunjwa yihamas ngomfumfu lonyaka kulelolizwe ibutho kachasisanga ukuba ukhululwe njani egaza lapho okulabantu abanengi abathunjwa yihamas reuters isa hamas israel war,NEGATIVE
narasi salah hamas udah video bohong israel tgl oktober muncul gitu pola bikin berita bohong nyerang alas tahan gencat senjata klo udh dpt petak tanah,NEGATIVE
hamass tuh defense nya palestine aja kayak tuh pasu militer israel defensenya hamas aja digempurr gak hamas enak kuasainnya gampang criminal wars aja israel aja teroris,NEGATIVE
si pro zionist pake suruh hamas nyerang duluan israel hak bela eh halo gilir palestine bela gak bela sosmed take down postingannya listrik putus makan bantu gak dibiarin masuk,NEGATIVE
ya gampang israel internet mati udh kaing kaing sadar kau bela mu hamas teroris salah,NEGATIVE
bestkan ko berckp mcm xdak nilai nyawa bayi palestin mati bom israel sbg collective punishment sdgkan ja idf hantar special force diorg masuk gaza utk bunuh hamas bom rkyt jelata,NEGATIVE
kebapukan hamas israel guna alas kasi perempuan kanak bodoh benteng manusia malang banyak negara pandai mengekploitasikan wanita,NEGATIVE
sebenernya konflik udah gue inget pas gue smp an guru gue udah bilang boikot kfc pokok boikot barang dukung israel jaman segitu israel udah jahat hamas udah ngelakuin tindas,NEGATIVE
benyamin netanyahu gugat rakyat israel korupsi isu perang trhdp hamas jd alih akan nasionalis juang penting bangsa amp negara utk nutupi borok nya,NEGATIVE
sangkal idf serang brutal mayat sipil palestina anak anak org dewasa tdk benar buat israel membenrkan buat hamas serang warga sipil sipil layak bunuh,NEGATIVE
dr pd kayak pala ngebelain hamas teroris biadap mesir lawan israel karna tau fakta hamas teroris,NEGATIVE
nyata hamas negara tentera israel jaya capai sebarang capai ketenteraan politik mula perang upaya al qassam juang jaya tentang serbu israel kejut zionis laknatullah,POSITIVE
israel udah serang palestina bikin janji langgar serang warga gaza brutal hamas balas salah serang hamas parah emang senjata canggih hancurin manusia,NEGATIVE
fix sayang jokowi ngeyel bela israel salah salahin hamas buzzer ga,NEGATIVE
fiks sih nyebut hamas teroris mah kubu netral pro israel nder udah liat banget ko,POSITIVE
tambah israel udah tau hamas lorong tanah intel ngapain serang wilayah rakyat sipil sekolah rumah sakit rumah ibadah,NEGATIVE
hubung ikat iman prinsip tanggung gak dipungkiri berita latar ibadah sosok agama pengaruh masif dukung israel emang ekstrem hamas lindung masyarakat sipil,POSITIVE
dokter norwegia mads gilbert al shifa bukti rs pakai sbg markas hamas pusat komando militer bohong baik made in israel,NEGATIVE
inti bner kgk nangkep tikus bakar lumbung klo niat bantai hamas gk pake serang udara brutal bgitu intelejen israel kenal sakti mandraguna mosok nangkep tikus gk aku pake genocida rak mashok bos,NEGATIVE
untung orang kristen trima kunjung israel hamas kuasa jejak yesus sifat tolerensi israel manusia hormat,POSITIVE
hasil deh idf bikin propaganda tembakin warga brutal israel hamas laku hamas tindak israel usik resiko ngajak perang,NEGATIVE
warga israel jg tdk mati krn bantai hamas orang tua anak wanita seret dr rumah tembak,NEGATIVE
target serang hamas idf kait perintah israel warga sipil,NEGATIVE
hamas bunuh kanak mcm israel ganas tu israel amp sokong jajah dar orang kutip illegal immigrant from europe nak tuan tanah orang malaysia kena hati orang sokong israel esok lusa kat jugak,POSITIVE
serang duluan hamas israel ngebalas israelkan yahudi hukum nyawa ganti nyawa mikir aja lu serang diem ngebiarin korban negara jatuh mikir pake otak mikir,NEGATIVE
emang mas gak lihat berita serang israel palestina udah ratus kali gak udah puluh kalo hamas bales gak terima wajar tahan lahan warga palestina disandra israel,NEGATIVE
nder block jelasin sejarah singkat hamas emang serang israel kabar an ngejajah kasih thread twitter ngejelasin bahasa bayi biar block biar baca paham,NEGATIVE
inti bner kgk nangkep tikus bakar lumbung klo niat bantai hamas gk pake serang udara brutal bgitu intelejen israel kenal sakti mandraguna mosok nangkep tikus gk aku pake genocida rak mashok bos,NEGATIVE
isr el nyerang orang kristen muslim yaa pikir aja ngapain hamas sembunyi gereja muslim anjir mentang juang palestina muslim ngasih cap teroris zionis israel teroris sungguh,NEGATIVE
salah tafsir komen mu israel idf terus serang palestina hamas serang israel target sipil israel warga negara israel serang,NEGATIVE
hamas ganas bro diorng blok juang adil utk palestin segi military fatah blok adil diplomatik hamas ni tubuh lepas kali percubaan diplomatik israel gagal sbb israel langgar byk terma janji janji,NEGATIVE
kafir goblok lu jilat arab saudi kafir omong arab saudi lu percaya hamas bunuh bayi teroris israel,NEGATIVE
ayo israel hancur smua teroris hamas,NEGATIVE
karna deteksi organisasi hamas anjir lu gabisa ngebom tmpt orgnya apalgi rumah sakit tau klu perang rumah sakit kaga ganggu ya anjir eta mah organisasi hamas emng israel aja bunuh ya anjing,NEGATIVE
both hamas amp iran is israel s ally iran s shia mahdi is rabbi shlomo yehuda be eri aka dajjal thread,NEGATIVE
perspektif tu yb israel yb takut menteri dap tu maklum yb hamas ganas ye yahudi zionis tu ganas,NEGATIVE
hasbiallahu wanimal wakil moga rudal hamas target israel yahudi zionis freepalenstine,NEGATIVE
maap kalo non blok indonesia kutuk serang hamas sabath okt korban sipil kutuk serang balas amp keras israel mukim gaza amp wilayah palestina ngajak makan siang presiden palestina lapar tdk suara,NEGATIVE
bombardir habis an warga palestina gaza hamas lindung hal tepi barat mana rakyat turun tangan lawan jajah israel bekal batu lupa doa ya freepalestine,NEGATIVE
pbb hirau pakde indonesia hub israel seru gemcatan senjata dengar aneh hamas bebas sandera,NEGATIVE
israel tipu idf keluar gambar caption pulang megidish culik hamas oktober malam selamat operasi darat ori rumah keluarga bukti israel tipu dunia ori tiada,NEGATIVE
kalo israel ga bangun illegal settlements tepi barat ga usir warga palestina rumah gue ga deh balas dendam hamas,NEGATIVE
dalam pola pikir hamas israel jokowi,NEGATIVE
panggil jihad mah doa tentara israel cepat habis hamas hama masyarakat,NEGATIVE
israel ngebom tanah palestine mah bela negara netral palestine hamas nyerang israel terorisssssss taik israel doang bela negara,NEGATIVE
israel tipu idf keluar gambar caption pulang megidish culik hamas oktober malam selamat operasi darat ori rumah keluarga bukti israel tipu dunia,NEGATIVE
buset hamas aja tindak oktober bilang bikin duluan si israel udah nyerang palestina kagak bilang teroris yak tkut bgt sm bela israhell,NEGATIVE
nggak nggak nggak hamas peristiwa nakba israel laknatullah invasi tanah palestina usir warga warga ratus desa nyalahin hamas,NEGATIVE
hrs nya si jkw blg wewenang sy ngurus israel hamas spt blg campur putus mk negeri aja bs blg ngurusin urus negeri,NEGATIVE
indonesia aktif wujud damai israel hamas presiden jokowi singgung perang gaza forum internasional dorong pimpin negara hadir henti tindak keras ballondor yahudi tidur jatinangor,POSITIVE
hamas perang israel beri,NEGATIVE
kini lapor jurucakap hamas al jazeera rejim israel tebus tawan kecuali janji tukar libat tahan netanyahu terus sebar bohong tutup gagal lemah,NEGATIVE
israel tipu idf keluar gambar caption pulang megidish culik hamas oktober malam selamat operasi darat ori rumah keluarga bukti israel tipu dunia a tread,NEGATIVE
karna deteksi hamas sana kocak lo olip hamas ni istilah idf nya palestina alias kalo gada hamas ya gaada garda depan perang palestina kira pinter lip makan israel video kocak udah kek film bangun kokoh,POSITIVE
piers morgan vs vivek ramaswamy on israel hamas war,POSITIVE
hamas serang israel oktober lawan apartheid ingat israel gaza gimmick masak ribu korban rs suruh pindah keluarga coba pindah utara selatan jalan bunuh israel,NEGATIVE
ya coba aja dah menlu nya ngomong israel sono dilakuin kaga hamas ya krn israel jajah palestine gitu aja koq ga paham sebel bngt,NEGATIVE
roket hamas luncur lihat banyaj tentara israel keras masjid al aqsa,NEGATIVE
kirim obat makan solusi suara kirim tentara bela palestina israel erti bahasa diplomasi resolusi israel gentar hamas banding fatah bahasa hamas bahasa senjata,POSITIVE
pakde urus anak bikin pusing indonesia sampean ga gaza ga persis israel adil evakuasi ijinkan bantu masuk hamas bebas sandera,POSITIVE
orang israel jadi hamas masuk israel jg lg gejolak bibi nyahu urus internal politik kayak amerika amp indonesia,POSITIVE
nya tu hamas buat israel dukung israel utk berontak palestina nama hamas israel ngasih pasok senjata tp lakuin tuju ya udah mahir belok nyerang israel israel aja ga ngakuin buat,NEGATIVE
oalah lha israel datang tampung palestina lha nguasai ngusir warga palestina ambil contoh nanggung hamas serang israel tarik belakang sampean urip ayem indo ya berkat juang,POSITIVE
tentara perempuan israel bebas tawan gaza militer israel senin shani louk perempuan jerman israel culik hamas serbu festival musik kawasan gurun israel nyata tewas,NEGATIVE
teriak free israel aja teriak free netherlands free japan jajah indonesia ngatain hamas teroris aja ngatain jendral sudirman teroris sampe paham gak sih indonesia kecam keras tindak israel,NEGATIVE
gue iman gue sllu cela gera hamas kerap biang kerok perang hamas bkn ekspektasi rakyat palestine perang buruk wajar kutuk israel manusia bnyk korban anak perempuan kalo anak pndang,POSITIVE
hamas buat orang israel,NEGATIVE
sblm hamas diri konflik sdh migrasi an yahudi palestina an mei paramiliter israel operasi militer hancur kota amp desa palestina luas batas israel lahir,POSITIVE
tank tank israel kumpul gaza jelang invasi darat lawan hamas pasang lindung juluk cope cage,NEGATIVE
rudal hamas mundur puluh tank israel terobos kota gaza,NEGATIVE
narasi silah edit anjing teroris islam jenggot palestina gelepar hangus bakar kek babi sembelih kubur puing hehehe hamas pesek radang sungguh bahagia alhamdulillah,POSITIVE
od nyalahin israel nyalahin hamas ga ga hamas tau dunia bela mengatasnamakan palestina faktor hitung hamas pasti tega jg sih bangsa dijadiin human shield bakar jenggot,NEGATIVE
october binatang hamas senjata bantai warga sipil anak wanita israel diam gak tau malu bicara kutuk,NEGATIVE
ya kalo nyerang hamas mah serang hamas warga sipil palestina emang zionist mah tulul banget hamas tentara resmi palestina yaudah kalo perang hamas gaza dijadiin battle field emang fix negara sih israel idf aja tulul wkwk,POSITIVE
hamas serang krn derita dibombarding idf zionis lu buzzerrp ganjar pro israel isu palestina vs israel murni merdeka palestina,NEGATIVE
emang bodoh ka hati busuk kena propaganda media hamas nyerang duluan ga tau aja kali israel nyerang ga tau aja indo ga aku negara israel,NEGATIVE
org tolil emg gt israel bela negara pdhl bela negara hamas dikatain teroris si jajah jd bela negara tu org kalo hidup zaman jajah jepang bela org jepangnya pribumi lawan kata teroris ky gitu ngaku iq,NEGATIVE
ken ku rt kali sisi benar israel hamas nyerang duluan sisi hamas bentuk jajah israel,POSITIVE
inget sandera lepas hamas sipil israel blg laku udah takut bgt eh ttp aja fitnah sm antek nya kalo bilang suruh sm hamas ngapain hamas pura cok gak pura ambil hati zionis,NEGATIVE
orang bain israel aja udah aneh alesannya hamas nyerang duluanlah kek gapernah nonton berita palestina wkwkwkw emang gapunya tv,NEGATIVE
waras tanggung akibat nyata ri orng bantu sikap kutuk israel empati kutuk insiden oktober tindak brutal hamas warga sipil israel,NEGATIVE
israel dakwa bebas anggota tenteranya tawan hamas bukti upaya pasuk gaza awaninews awanipagi,NEGATIVE
astaghfirullah hati buat dr ya ga paham situasi tp koar koar tuh astaghfirullah kalo angkat minimal mikir bandingin dampak hamas lakuin sm israel lakuin skrg guoblog ga banding,NEGATIVE
lu nonton tv kek nya sbelom hamas nyerang israel mana aja gak baca berita kah kalo israel udah invasi palestina hamas alas biar tu israel kalo baca berita biasa dr akar nya yaa,NEGATIVE
mesti umpama bakar kampung adat pake bom kkb tentara indonesia israel hamas suruh israel mundur wilayah hak balas bombardir israel,NEGATIVE
nyerang agresi hamas israel dg bunuh ribu org israel jgn baca berita dlm huruf arab krn huruf arab baca balik banding org normal,NEGATIVE
presiden ri berani kecam tindak hamas warga sipil israel oktober kecam tindak israel hasil lawan hamas,NEGATIVE
gw penasaran hostages israel tahan tuh emang beneran teroris isi anak anak civilian gak senjata tahan teroris ngeliat orang palestina hamas,NEGATIVE
kiky ganjar boikot ratih syailendra yesus feni hamas bandara kertajati senin jatinangor durian genosida wendy israel olive yahudi halloween apel pagi sabana,NEGATIVE
ni perangkap agenda sekterian ismail haniyeh tu sunni hamas cium tangan syed ali khamenie muka wali faqeh iran shia makna iran sponsor hamas sunni shia satu lawan israel sifir ni x faham ka,NEGATIVE
wkwkwkwk hamas teroris hamas kelompok islam gak bilang teroris kek israel,NEGATIVE
tentara perempuan israel culik hamas bebas sandera perempuan tewas beritaindo,NEGATIVE
kalo judul ambigu kyk gin gara bom nya israel kalo tembak hamas judul ubah tim selamat pbb tembak tentara hamas,NEGATIVE
bayangin lu udah hidup tahun turun turun kelompok org dateng bagi tanah janji agama lu usir rang lahir gera hamas merdeka palestina trus skrg israel dalih rang hamas tai,NEGATIVE
hamas israel bantu selesai,POSITIVE
jepang declare hamas teroris jepang antek israel ya okay,NEGATIVE
zionis israel kirim duit gaji teras a n palestina authority bilang hamas palestina wakil palestina,NEGATIVE
anggota hamas anak anak hilang orangtuanya serang militer israel apa kecuali ambisi usir israel palestina,NEGATIVE
hastag hamasisis yaa mon maap mbak israel ngejajah palestina hamas ikut perang tuh isis kah lh itulh tuju palestina bebas jajah israel amp israel negara bilang israel negara lu kudu baca sejarahny,POSITIVE
nama pribadi kutuk hamas palestina culik bunuh bangsa israel bom negara israel krn wajib tuntas akar diri samping bangsa israel bangsa pilih tuhan,NEGATIVE
ummm sebenernya kalo bela palestine gapapa aku israel korban hamas korban jatuh rugi,NEGATIVE
israel gencat senjata kalo hamas surrnder turunin senjata nyerah tangan angkat atas ketawa tawar licik israel gak nyerah sampe dapetin hak nya taruh nyawa berani berani gak takut bocah,POSITIVE
gantung pandang israel palestina banyak orang israel jajah palestina bangsa jajah hamas bentuk lawan bangsa jajah beda fatah memiluh jalur diplomasi,POSITIVE
hamas bentuk israel rakyat palestina hina tindas,NEGATIVE
harap israel tunduk desa gencat senjata kalah hamas awaninews awanipagi,NEGATIVE
kritisi hamas jg jadi trakhir harap gmn ribu rudal luncur hamas harap israel diam ngga dukung israel tp kompromi lbh realistis palestine bs bgn negri kec jd ajang bisnis senjata kejam elite mewah,NEGATIVE
lo bilang hamas nyerang israel hamas ancam orang israel orang israel bebas main tiktok tentara bkn dar warga sipil party jalan warga palestina nafas aja ancam pasok putus,NEGATIVE
ratih syailendra freepalestine yahudi warning gal gadot boikot haaland feni genosida ganjar olive taemin jatinangor hamas israel hate you,NEGATIVE
kim jong un lbih waras org goblok dukung zionist andal klo hamas duluan ngerang gabakal serang baling sm israel tolol lu,NEGATIVE
ratih syailendra freepalestine yahudi warning gal gadot boikot haaland feni genosida ganjar olive taemin jatinangor hamas israel hate you,NEGATIVE
ratih syailendra freepalestine yahudi warning gal gadot boikot haaland feni genosida ganjar olive taemin jatinangor hamas israel hate you,NEGATIVE
sejarah bapak nyari nggak cmn liat sisi aja nih gak imbang sudut pandang inti hamas bentuk israel zionis jajah maaf bela israel,NEGATIVE
lbh tentara zionis israel mati konyol lawan hamas moga susul nethanyahu otak sikopat perang jajah palestina,NEGATIVE
bawa data orang sandera tinggal berani kecam israel lu kecam hamas dar iya israel jg kejam bawa berita sumber israel narasi benar,POSITIVE
bkn dukung israel tp kali hamas bombardir ribu rudal trus harap israel ga balas mrka senjata komplit dukung us ya rata cm elite hamas ga byk jd korban bisnis senjata udahlah hrs kompromi kpn palestine bgn negrinya,NEGATIVE
israel kecut gak berani perang darat dasar negara teroris halal rampas tanah rakyat palestina rakyat palestina hak lawan hamas fatah,POSITIVE
minyak dunia turun rendah perang israel hamas,NEGATIVE
ane bahas hamas alas kau bilang hamas teroris org gaza mngkudeta dyordania ente brstatement pke ilmu sih skrg dgaza perang hamas vs israel amerika kau kberpihakan kmn,NEGATIVE
kalo lo kecam hamas dasar manusia lo kecam israel karna manusia korban sebab israel senjata bahaya dar sandera tembak bom tank lu bawa data orng tp palestin,NEGATIVE
jelasin orang emg udah mindset beda udah biarin aja kak emg tuju israel antek nya ngebuat hamas mata orang sbg teroris,NEGATIVE
video teroris hamas serang israel,NEGATIVE
keras lurah hamas bikin gara kutuk gak kata kutuk hamas gerombol malu tutup kebiadapan hamas korban nyawa sipil gak dosa tuhan firman kutuk israel kutuk,NEGATIVE
sehat aja cacat pantes israel ga bebasin sandera sandera hamas takut tahu propaganda thdp hamas salah,NEGATIVE
pdt dr rubin adi abraham konflik hamas vs israel dunia via,NEGATIVE
israel negara ya btw coba buktiin nggak hamas korban bom rumah sakit ni yah mobil puter tembak,NEGATIVE
israel anggap rakyat palestin hamas hapus orang tua wanita kanak bunuh manusia kejsm dunia,NEGATIVE
hillary clinton gencat senjata gaza rana seru gencat senjata paham hamas israel bunuh orang awam palestin gaza paruh kanak kanak,NEGATIVE
gaza kuasa israel sdh enak enak kemarin orang arab palestina krn si teroris hamas ubah,NEGATIVE
salah bang israel emang basmi hamas beda persepsi hamas israel hamas perang orang palestina calon terus hamas ya serang aja biar ga terus hamas,NEGATIVE
lo gasuka hamas fakta sosmed kalo lo bela palestin pro israel nyebut lo dukung hamas kalo ngomong gasuka hamas dalih humanity ga ngangkat isu palestin bombardir ya lu nilai,NEGATIVE
mustahil israel lenyap hamas lindung warga sipil palestina,POSITIVE
tolong sesat terowong hamas tulis amerika seru israel sabar timbang teliti akibat reaksi gesa gesa juang palestin sahabat,NEGATIVE
kek nya emang bener dah tawan tua bebas hamas aja tolak mrk butuh awat krn kondisi sehat ya bodo israel mah coz zionist es humans as their tools kasi sm dah makan propaganda israel bela mati an,NEGATIVE
israel takut loh eksistensi hamas hamas kirim rudal israel membumihanguskan hamas karna ny ancam israel,NEGATIVE
hamas hisbullah gempur jajah palestina zionis israel wajib hancur jajah zionis israel biadab tdk adab dr palestina dunia bahan mana israel usir krn mmg kumpul manusia,NEGATIVE
hamas serang israel jg statement freepalestine,NEGATIVE
lihat bukti temu idf israel teroris hamas pakai duduk rumah sakit gaza sbagai tameng teror amp ambil bahan bakar untuk duduk gaza utk teror sok urus negara urus negara saveisrael,NEGATIVE
kaum intoleran rajalela negeri larang umat minoritas ibadah diam tdk kutuk israel lindung warga balas serang hamas sok jago kutuk,NEGATIVE
sy udh liat ya kak video hamas keras teroris tp sy dasar sy palestina tolak ukur keras anggap teroris ya teroris biadab israel hamas fatah bela negara,NEGATIVE
circle nya krn realitanya gak lbh condong israel ceplos pendam lbh lbh parah nya tetangga muslim sempet bilang nyalahin hamas iki piye spt nya tdk beres,NEGATIVE
lihat bukti temu idf israel teroris hamas pakai duduk rumah sakit gaza sbagai tameng teror amp ambil bahan bakar untuk duduk gaza utk teror sok urus negara urus negara,NEGATIVE
narasi antek zionist hamas kata teroris kalo hamas teroris israel ape rumah sakit bom anak anak serang org solat dibubarin iya agama otak ama hati nurani aja bs ngeliat gak lbh jahat,NEGATIVE
hamas tukeran sandera israel tp mereka gamau tp tau sih perintah negara jilat mamarika,NEGATIVE
ngebenturin berita kristen israel ga masuk org kristen tolol ngurus urus mrka deket msh byk ga masuk akal sehat kristen israel hancurin gereja amp salib bodo ga rugi palestina israel palestina gereja hamas,NEGATIVE
israel lawan hamas ormas aja uda kocar kacir kwkwkwkwkw bisa balas ngebom ngawur anak duduk sipil lawan hizbullah tel apip tanah,NEGATIVE
israel propaganda hamas pakai anak tameng tameng sandera israel selamat anak bantai anak habis hamas,POSITIVE
korban nyawa israel tdk musuh israel korban biadap hamas gilir korban gazah israel cap biadap brengsek kadrun kadrun aja bunuh kafir gak ajar agama kadrun,NEGATIVE
hamas gt nazi israel,NEGATIVE
cek gereja d bom ground tunnel sbg sembunyi teroris hamas rs masjid sekolah d bom israel krn jd markas hamas warga gaza diam gereja sinagoge klu d jadi markas hamas pst kena bom israel,NEGATIVE
hamas nya jg hrs push to stop fight with israel,NEGATIVE
sorry goblok banget pola pikir kalo pikir pake logika korban israel kemaren palestina jg banyak palestina kalo emang ngebom musnahin hamas ya ngapain pake babi buta israel goblok gaada strategi perang samsek,NEGATIVE
ngak gitu konteks lu cuman tau idf ngebom bunuh warga sipil hamas bunuh sipil israel warga philipin cangkul leher,NEGATIVE
hamas ormas bikin israel bangsa pilih cerdas canggih bingung takut kwkwkwkwkw secemen cerita hebat israel dar propaganda kwkwkwkwkw,NEGATIVE
kutuk israel izin tuhan yme kutuk teroris hamas bunuh orang sipil israel bayi israel libur nasional israel kutuk orang islam indonesia menggangu ibadah umat kristen bangun gereja bakar gereja tq,NEGATIVE
target hamas sih darat ngga berani one by one berani udara jarak coba aja israel ngga iron dome habis israel,NEGATIVE
bener ya konflik bulan imbas serang hamas israel makan korban warga israel trus dibales israel lewat batas gaza,NEGATIVE
hamas mudah an serang darat israel,NEGATIVE
hamas cuman dana israel hamas bentuk israel,NEGATIVE
haloooo tanp hamas genosida israel yaaa jadi nakda mana palestina usir paksa th broo,NEGATIVE
tepi barat lho ga hamas aja duduk palestina bantai puluh israel,NEGATIVE
amerika mati mati bela israel nyerang palestina tentara amerika pulang mayat kalah tentara hamas palestina film film amerika hebat teknologi alat canggih gilir nyata kalah hamas hamas,NEGATIVE
bank dunia konflik israel hamas picu lonjak harga minyak,NEGATIVE
samasama hamas alesan israel babi buta sht sipil aja udah ga harga mata,NEGATIVE
inti hamas berni hukum israel bacot doang,NEGATIVE
perang bingung israel mohon menang allah yhvh hamas mohon menang allah swt,NEGATIVE
tau kn hamas krn krn paleatin capek d bully mulu israel ngelawan dg bentuk ya hamas duluan israel evil salah israel,NEGATIVE
kecuali klw rakyat palestina hidup tenang tdk tindas jajah hamas sj serang israel ad alas jls baru jdi alas bs benar terima fakta trjdi sprti rakyat palestina sngt kekang tindas,NEGATIVE
kalo hamas trus juang merdeka palestina ngecam ngecam israel doang nih salah testimoni mantan tawan hamas,NEGATIVE
puluh israel tindas lu diam hamas bikin serang duluan lu ria otak otak,NEGATIVE
harga minyak anjlok senin picu reda khawatir perang israel hamas ganggu pasok,NEGATIVE
tolak lupa hamas serang israel muslim suka ria ingat twitter balas mewek,POSITIVE
gerun tentera hamas cakap hantar orang je juang and orang israel ckp fighting with ghost tentera allah tu keliling shame on you zionist please google ayat kecut ni koyak,NEGATIVE
hamas ne khud accept kia hai or us israel west sb janty hain k hamas ki funding arming or training iran ne ki hai ta k un muslims brothers and sisters ko unki maqbuza zameen wapis mil ske or masjid e aqsa azad ho,NEGATIVE
serang hamas pasu israel tindas rampas tanah milik palestina cb search berita tanah duduk israel,NEGATIVE
loh temen gereja gue speak up free palestine from hamas gegara hamas israel ngamuk ngajak perang lupa kah kalo palestina udh jajah skrg lgi usaha rebut tanah bener tuh free palestine from israel,NEGATIVE
serang israel tp lu gk percaya serang hamas hhhhhhh please educate yourself,NEGATIVE
iya sekutu as sprti pm inggris sdh kencleng otak slalu sj alas hamas mnyerang duluan tdk prnah pikir knp ap sebab hamas mnyerang israel rakyat palestina sdh muak sdh tdk bs gi tahan marah ats ulah tindas zionis israel,POSITIVE
